name,short_name,city,state,type,established_year,nirf_rank,nirf_score,naac_grade,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,exams_accepted,streams,about,highlights,website,slug
Indian Institute of Management Bangalore,IIM Bangalore,Bengaluru,Karnataka,CENTRAL,1973,2,86.11,A++,2400000,2400000,100.0,32.0,9.0,"McKinsey,BCG,Bain,Amazon,Google",CAT,MANAGEMENT,"IIM Bangalore is India's second-ranked management school, known for its strong focus on entrepreneurship and technology management.","NIRF #2 Management,100% placement,Tech management,IIM status",https://www.iimb.ac.in,indian-institute-of-management-bangalore
Indian Institute of Management Calcutta,IIM Calcutta,Kolkata,West Bengal,CENTRAL,1961,3,83.45,A++,2400000,2400000,100.0,31.0,8.5,"McKinsey,BCG,Goldman Sachs,JP Morgan,Amazon",CAT,MANAGEMENT,"IIM Calcutta is India's oldest IIM, known for finance and consulting placements with a strong global alumni network.","NIRF #3 Management,Finance focus,Oldest IIM,100% placement",https://www.iimcal.ac.in,indian-institute-of-management-calcutta
Indian Institute of Management Kozhikode,IIM Kozhikode,Kozhikode,Kerala,CENTRAL,1996,4,80.23,A++,2100000,2100000,100.0,28.5,7.5,"Amazon,BCG,Deloitte,KPMG,McKinsey",CAT,MANAGEMENT,IIM Kozhikode is known for its Digital Business and Strategy programs and beautiful hilltop campus.,"NIRF #4 Management,Digital focus,Scenic campus,IIM status",https://www.iimk.ac.in,indian-institute-of-management-kozhikode
Indian Institute of Management Lucknow,IIM Lucknow,Lucknow,Uttar Pradesh,CENTRAL,1984,5,79.11,A++,2000000,2000000,100.0,27.5,7.0,"Amazon,BCG,Deloitte,KPMG,Flipkart",CAT,MANAGEMENT,IIM Lucknow is known for its agri-business and rural management programs alongside strong general management.,"NIRF #5 Management,Agri-business,Strong alumni,IIM status",https://www.iiml.ac.in,indian-institute-of-management-lucknow
Indian Institute of Management Indore,IIM Indore,Indore,Madhya Pradesh,CENTRAL,1996,6,77.88,A++,1900000,1900000,100.0,26.0,6.5,"Amazon,Deloitte,KPMG,BCG,Flipkart",CAT,MANAGEMENT,IIM Indore is known for its 5-year Integrated Program in Management (IPM) and strong industry connections.,"NIRF #6 Management,IPM program,Industry connections,IIM status",https://www.iimidr.ac.in,indian-institute-of-management-indore
BITS Pilani,BITS Pilani,Pilani,Rajasthan,DEEMED,1964,16,72.4,A++,510000,510000,92.0,15.0,1.8,"Microsoft,Google,Amazon,Qualcomm,Texas Instruments",BITSAT,ENGINEERING,BITS Pilani is India's premier private engineering institution known for its Practice School program and strong Silicon Valley alumni.,"NIRF Top 20,Practice School,Silicon Valley alumni,Top private",https://www.bits-pilani.ac.in,bits-pilani
BITS Pilani Hyderabad Campus,BITS Hyderabad,Hyderabad,Telangana,DEEMED,2008,38,60.11,A+,510000,510000,90.0,14.0,1.6,"Microsoft,Google,Amazon,Qualcomm,Samsung",BITSAT,ENGINEERING,BITS Pilani Hyderabad campus offers the same rigorous curriculum as the main campus in the tech hub of India.,"BITS brand,Tech hub location,Strong placements,BITS network",https://www.bits-pilani.ac.in/hyderabad,bits-pilani-hyderabad-campus
BITS Pilani Goa Campus,BITS Goa,Goa,Goa,DEEMED,2004,45,58.22,A+,510000,510000,89.5,13.5,1.5,"Microsoft,Google,Amazon,Qualcomm,Adobe",BITSAT,ENGINEERING,BITS Pilani Goa campus combines quality BITS education with Goa's vibrant atmosphere.,"BITS brand,Goa campus,Strong placements,BITS network",https://www.bits-pilani.ac.in/goa,bits-pilani-goa-campus
Vellore Institute of Technology,VIT Vellore,Vellore,Tamil Nadu,DEEMED,1984,11,76.55,A++,198000,350000,89.0,9.5,1.2,"Microsoft,Amazon,Google,Infosys,TCS",VITEEE,ENGINEERING,VIT Vellore is India's top private engineering university with strong international collaborations and excellent placements.,"NIRF Top 15,International MOUs,Strong placements,Large campus",https://vit.ac.in,vellore-institute-of-technology
VIT Chennai,VIT Chennai,Chennai,Tamil Nadu,DEEMED,2010,28,64.55,A+,198000,350000,87.0,9.0,1.1,"Microsoft,Amazon,Google,Infosys,TCS",VITEEE,ENGINEERING,VIT Chennai campus offers VIT's quality education in the heart of Chennai's tech ecosystem.,"VIT brand,Chennai location,Strong placements,Tech ecosystem",https://chennai.vit.ac.in,vit-chennai
SRM Institute of Science and Technology,SRM IST,Kattankulathur,Tamil Nadu,DEEMED,1985,30,63.21,A++,195000,380000,86.5,8.5,1.0,"Amazon,Microsoft,Infosys,TCS,Wipro",SRMJEEE,ENGINEERING,SRM Institute is one of India's largest private universities with strong industry connections and research output.,"Large university,Industry connect,Multiple campuses,Research output",https://www.srmist.edu.in,srm-institute-of-science-and-technology
Manipal Institute of Technology,MIT Manipal,Manipal,Karnataka,DEEMED,1957,42,57.88,A++,200000,420000,85.0,8.0,1.0,"Infosys,TCS,Wipro,Amazon,Microsoft",MET,ENGINEERING,MIT Manipal is part of Manipal University and is known for quality engineering education and strong brand recognition.,"Manipal brand,Strong alumni,Industry connections,NAAC A++",https://manipal.edu/mit.html,manipal-institute-of-technology
Amrita School of Engineering Coimbatore,Amrita Coimbatore,Coimbatore,Tamil Nadu,DEEMED,1994,9,78.11,A++,175000,300000,84.0,7.5,0.9,"Infosys,TCS,Wipro,Amazon,Cognizant",Amrita EEE,ENGINEERING,Amrita Vishwa Vidyapeetham Coimbatore is a top deemed university with strong research output and spiritual ethos.,"NIRF Top 10 University,Research output,Multiple campuses,NAAC A++",https://www.amrita.edu,amrita-school-of-engineering-coimbatore
PSG College of Technology,PSG Tech,Coimbatore,Tamil Nadu,PRIVATE,1951,57,52.33,A++,80000,120000,88.0,8.0,0.85,"TCS,Infosys,Wipro,Amazon,Cognizant",TNEA,ENGINEERING,PSG College of Technology is one of Tamil Nadu's most prestigious private engineering colleges with a strong industry-academia interface.,"Tamil Nadu top private,Strong industry tie,Old reputation,NAAC A++",https://www.psgtech.edu,psg-college-of-technology
Thapar Institute of Engineering and Technology,Thapar,Patiala,Punjab,DEEMED,1956,33,62.11,A++,400000,450000,88.0,10.0,1.1,"Microsoft,Amazon,Google,Samsung,Infosys",JEE Main,ENGINEERING,Thapar Institute is a top private technical university in North India known for strong industry connections and global tie-ups.,"North India top private,Global tie-ups,Strong placements,NAAC A++",https://www.thapar.edu,thapar-institute-of-engineering-and-technology
Birla Institute of Technology Mesra,BIT Mesra,Ranchi,Jharkhand,DEEMED,1955,36,60.88,A,120000,200000,82.0,8.0,0.9,"TCS,Infosys,Wipro,Amazon,Cognizant",JEE Main,ENGINEERING,BIT Mesra is one of the oldest private engineering institutions in India with strong industry and research focus.,"Old institution,Research focus,Industry connections,Jharkhand premier",https://www.bitmesra.ac.in,birla-institute-of-technology-mesra
PES University,PES University,Bengaluru,Karnataka,PRIVATE,1972,88,48.22,A+,220000,380000,86.0,8.5,1.0,"Microsoft,Amazon,Google,Infosys,Wipro",PESSAT,ENGINEERING,PES University Bengaluru is one of Karnataka's top private engineering colleges with strong tech industry connections.,"Bangalore tech hub,Strong placements,Industry connections,Top private Karnataka",https://pes.edu,pes-university
RV College of Engineering,RVCE,Bengaluru,Karnataka,PRIVATE,1963,79,49.55,A++,190000,300000,87.0,9.0,1.0,"Microsoft,Amazon,Google,Infosys,Samsung",KCET,ENGINEERING,RVCE is Bengaluru's top autonomous engineering college with exceptional placement records and strong alumni in tech.,"Bangalore top college,Strong placements,Autonomous,Alumni network",https://www.rvce.edu.in,rv-college-of-engineering
BMS College of Engineering,BMSCE,Bengaluru,Karnataka,PRIVATE,1946,92,47.88,A++,185000,280000,85.0,8.5,0.9,"Infosys,TCS,Wipro,Amazon,Microsoft",KCET,ENGINEERING,BMSCE is one of Bangalore's oldest and most respected engineering colleges with strong industry connections.,"Old institution,Bangalore top,Industry connections,NAAC A++",https://www.bmsce.ac.in,bms-college-of-engineering
MS Ramaiah Institute of Technology,MSRIT,Bengaluru,Karnataka,PRIVATE,1962,88,48.11,A++,190000,290000,86.0,8.5,0.9,"Infosys,TCS,Wipro,Amazon,Oracle",KCET,ENGINEERING,MS Ramaiah Institute of Technology is a top engineering college in Bengaluru with consistent placement performance.,"Bangalore top college,Consistent placements,Industry connect,Autonomous",https://msrit.edu,ms-ramaiah-institute-of-technology
College of Engineering Pune,COEP,Pune,Maharashtra,GOVERNMENT,1854,64,51.22,A++,40000,80000,83.0,7.5,0.8,"TCS,Infosys,Wipro,L&T,Cognizant",MHT-CET,ENGINEERING,COEP is one of India's oldest and most prestigious government engineering colleges with a proud alumni legacy.,"India oldest engineering,Government college,Low fees,NAAC A++",https://www.coep.org.in,college-of-engineering-pune
Vishwakarma Institute of Technology,VIT Pune,Pune,Maharashtra,PRIVATE,1983,95,47.11,A+,170000,240000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",MHT-CET,ENGINEERING,VIT Pune is one of Maharashtra's top private engineering colleges with strong industry partnerships.,"Pune top private,Industry partnerships,Good placements,NAAC A+",https://www.vit.edu,vishwakarma-institute-of-technology
Pune Institute of Computer Technology,PICT,Pune,Maharashtra,PRIVATE,1983,110,45.55,A+,155000,200000,83.0,7.8,0.85,"Infosys,TCS,Wipro,Cognizant,Amazon",MHT-CET,ENGINEERING,PICT Pune is particularly known for its Computer Science programs and strong placement record in IT sector.,"CS focus,Pune top college,IT placements,Industry connect",https://pict.edu,pune-institute-of-computer-technology
DJ Sanghvi College of Engineering,DJSCE,Mumbai,Maharashtra,PRIVATE,1994,120,44.22,A+,165000,230000,81.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Cognizant",MHT-CET,ENGINEERING,DJ Sanghvi College of Engineering is one of Mumbai's top private engineering colleges with strong placements.,"Mumbai top college,Strong placements,Industry connect,NAAC A+",https://djsce.ac.in,dj-sanghvi-college-of-engineering
Sardar Patel College of Engineering,SPCE,Mumbai,Maharashtra,PRIVATE,1962,130,43.55,A+,140000,200000,80.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,L&T",MHT-CET,ENGINEERING,SPCE Mumbai is a premier engineering college with strong roots in Mumbai's engineering education landscape.,"Mumbai premier,Old institution,Industry connect,Good placements",https://www.spce.ac.in,sardar-patel-college-of-engineering
Dwarkadas J. Sanghvi College of Engineering,DJSCE,Mumbai,Maharashtra,PRIVATE,1994,128,43.77,A+,165000,230000,81.0,7.5,0.8,"TCS,Infosys,Wipro,Amazon,Oracle",MHT-CET,ENGINEERING,One of Mumbai's top engineering colleges known for Computer Science and Electronics programs.,"Mumbai top,CS programs,Industry connect,Good placements",https://djsce.ac.in,dwarkadas-j-sanghvi-college-of-engineering
All India Institute of Medical Sciences Delhi,AIIMS Delhi,New Delhi,Delhi,CENTRAL,1956,1,91.33,A++,1390,5000,100.0,12.0,0,"Government Hospitals,Research institutions,ICMR,WHO",NEET,MEDICAL,AIIMS Delhi is India's most prestigious medical institution and one of Asia's finest healthcare and research centers.,"NIRF #1 Medical,India top medical,Research excellence,Government",https://www.aiims.edu,all-india-institute-of-medical-sciences-delhi
Post Graduate Institute of Medical Education and Research,PGIMER,Chandigarh,Punjab,CENTRAL,1962,2,85.44,A++,50,2000,100.0,10.0,0,"Government Hospitals,Research institutions",NEET PG,MEDICAL,PGIMER Chandigarh is one of India's leading medical institutions with exceptional postgraduate programs and research.,"NIRF #2 Medical,PG excellence,Research focus,Government",https://pgimer.edu.in,post-graduate-institute-of-medical-education-and-research
Christian Medical College,CMC Vellore,Vellore,Tamil Nadu,PRIVATE,1900,3,83.11,A++,1500000,1500000,100.0,0,0,"Christian hospitals,Mission hospitals,Research institutions",NEET,MEDICAL,CMC Vellore is a globally renowned private medical college known for excellence in patient care and research.,"NIRF #3 Medical,Global reputation,Patient care,Mission hospital",https://www.cmch-vellore.edu,christian-medical-college
JIPMER,JIPMER,Puducherry,Puducherry,CENTRAL,1823,4,80.22,A++,50,5000,100.0,0,0,"Government Hospitals,Research institutions",NEET,MEDICAL,JIPMER is one of India's oldest and most prestigious medical institutions with excellent clinical training.,"NIRF #4 Medical,Oldest medical,Government college,Research",https://jipmer.edu.in,jipmer
Kasturba Medical College Manipal,KMC Manipal,Manipal,Karnataka,PRIVATE,1953,5,77.55,A++,1800000,2000000,100.0,0,0,"Manipal hospitals,Research institutions",NEET,MEDICAL,KMC Manipal is part of the Manipal University system and is one of India's top private medical colleges.,"NIRF #5 Medical,Manipal brand,Private premier,Clinical training",https://manipal.edu/kmc-manipal.html,kasturba-medical-college-manipal
Maulana Azad Medical College,MAMC,New Delhi,Delhi,GOVERNMENT,1958,6,75.88,A++,50000,50000,100.0,0,0,Delhi Government Hospitals,NEET,MEDICAL,MAMC is one of Delhi's top government medical colleges with affiliation to the largest hospital complex in Asia.,"Delhi premier medical,Government,Large hospital,Clinical exposure",https://www.mamc.ac.in,maulana-azad-medical-college
Sri Ramachandra Institute of Higher Education,SRIHER,Chennai,Tamil Nadu,DEEMED,1985,8,72.11,A++,1500000,1800000,100.0,0,0,"Sri Ramachandra hospitals,Research institutions",NEET,MEDICAL,SRIHER is a top deemed medical university in Chennai with excellent clinical facilities and research programs.,"NIRF Top 10 Medical,Chennai premier,Deemed university,Research",https://www.sriramachandra.edu.in,sri-ramachandra-institute-of-higher-education
Amrita Institute of Medical Sciences,Amrita Medical,Kochi,Kerala,DEEMED,1998,9,70.44,A++,1700000,1700000,100.0,0,0,"Amrita hospitals,Research institutions",NEET,MEDICAL,Amrita Medical Sciences Kochi is part of the Amrita University system with state-of-the-art medical facilities.,"NIRF Top 10 Medical,Amrita brand,Modern facilities,Research",https://www.amrita.edu/campus/kochi,amrita-institute-of-medical-sciences
National Law School of India University,NLSIU Bangalore,Bengaluru,Karnataka,GOVERNMENT,1987,1,85.22,A++,160000,160000,95.0,14.0,0,"Top law firms,Supreme Court,High Courts,Corporate firms",CLAT,LAW,"NLSIU Bangalore is India's premier law school, consistently ranked #1 with exceptional bar and corporate placements.","NIRF #1 Law,India top law school,Bar placements,Corporate law",https://www.nls.ac.in,national-law-school-of-india-university
NALSAR University of Law,NALSAR,Hyderabad,Telangana,GOVERNMENT,1998,2,82.11,A++,140000,140000,93.0,12.5,0,"Top law firms,Supreme Court,Corporate firms,Government",CLAT,LAW,NALSAR Hyderabad is India's second-ranked law school with strong focus on corporate and human rights law.,"NIRF #2 Law,Corporate law,Human rights,Government university",https://nalsar.ac.in,nalsar-university-of-law
National Law University Delhi,NLU Delhi,New Delhi,Delhi,GOVERNMENT,2008,3,80.45,A++,145000,145000,94.0,13.0,0,"Supreme Court,High Courts,Top law firms,MNCs",AILET,LAW,NLU Delhi has the unique advantage of being located in the capital and has quickly become one of India's top law schools.,"NIRF #3 Law,Capital location,Corporate placements,Fast rising",https://nludelhi.ac.in,national-law-university-delhi
West Bengal National University of Juridical Sciences,NUJS Kolkata,Kolkata,West Bengal,GOVERNMENT,1999,4,78.33,A+,130000,130000,91.0,11.5,0,"Top law firms,Corporate firms,High Courts",CLAT,LAW,NUJS Kolkata is one of India's top national law universities with strong corporate and banking law programs.,"NIRF #4 Law,Corporate law,Banking law,Government university",https://www.nujs.edu,west-bengal-national-university-of-juridical-sciences
Gujarat National Law University,GNLU,Gandhinagar,Gujarat,GOVERNMENT,2004,5,76.11,A+,120000,120000,90.0,11.0,0,"Top law firms,Corporate firms,Government",CLAT,LAW,GNLU is one of India's newer NLUs that has quickly established itself as a top law school.,"NIRF #5 Law,Gujarat premier,Corporate placements,Government university",https://www.gnlu.ac.in,gujarat-national-law-university
National Institute of Design,NID Ahmedabad,Ahmedabad,Gujarat,GOVERNMENT,1961,1,85.0,A++,400000,400000,95.0,12.0,0,"Tata Motors,Mahindra,HUL,Samsung,Apple Design",NID Entrance,DESIGN,"NID Ahmedabad is India's premier design institution, internationally recognized for producing world-class designers.","NIRF #1 Design,India top design,Global recognition,Government",https://www.nid.edu,national-institute-of-design
Industrial Design Centre IIT Bombay,IDC IIT Bombay,Mumbai,Maharashtra,CENTRAL,1969,2,82.0,A++,100000,200000,93.0,14.0,0,"Apple,Google,Tata,Mahindra,Samsung",JEE Advanced,DESIGN,"IDC IIT Bombay is one of Asia's top design schools, producing designers who lead product design at global companies.","IIT Bombay brand,Asia top design,Industry placements,Research",https://www.idc.iitb.ac.in,industrial-design-centre-iit-bombay
School of Planning and Architecture,SPA Delhi,New Delhi,Delhi,CENTRAL,1959,1,83.0,A++,200000,200000,90.0,10.0,0,"Architecture firms,Urban planning bodies,Government","NATA,JEE Main",DESIGN,"SPA Delhi is India's premier architecture and planning school, producing leading architects and urban planners.","NIRF #1 Architecture,India top arch,Urban planning,Government",https://www.spa.ac.in,school-of-planning-and-architecture
Indian Institute of Science,IISc Bangalore,Bengaluru,Karnataka,CENTRAL,1909,1,90.32,A++,50000,100000,95.0,20.0,2.0,"ISRO,DRDO,Google Research,Microsoft Research,Qualcomm","JAM,GATE",SCIENCE,IISc Bangalore is India's top research university and one of Asia's finest institutions for science and engineering research.,"NIRF #1 University,Top research,India oldest research univ,ISRO partner",https://iisc.ac.in,indian-institute-of-science
Jawaharlal Nehru University,JNU,New Delhi,Delhi,CENTRAL,1969,2,82.44,A++,30000,50000,85.0,8.0,0,"Government,Research institutions,NGOs,Academia",JNU EE,SCIENCE,JNU is India's premier social sciences and humanities research university with exceptional academic culture.,"NIRF #2 University,Social sciences,Research culture,Government",https://www.jnu.ac.in,jawaharlal-nehru-university
University of Hyderabad,UoH,Hyderabad,Telangana,CENTRAL,1974,3,78.22,A++,45000,80000,82.0,7.0,0,"Research institutions,Government,ISRO,Academia",UoH entrance,SCIENCE,"University of Hyderabad is a top central university known for sciences, social sciences and humanities research.","NIRF Top 5 University,Sciences,Humanities,Government",https://uohyd.ac.in,university-of-hyderabad
Banaras Hindu University,BHU,Varanasi,Uttar Pradesh,CENTRAL,1916,4,76.55,A++,30000,80000,78.0,6.5,0,"Research institutions,Government,Industry,Academia",BHU PET,SCIENCE,"BHU is one of Asia's largest residential universities with programs spanning arts, sciences, engineering and medicine.","Largest residential univ,Multidisciplinary,Heritage,Government",https://www.bhu.ac.in,banaras-hindu-university
Anna University,Anna University,Chennai,Tamil Nadu,GOVERNMENT,1978,9,70.11,A++,45000,85000,82.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,Anna University is Tamil Nadu's apex technical university and conducts TNEA for engineering admissions across the state.,"Tamil Nadu apex,Affiliating university,Government,NAAC A++",https://www.annauniv.edu,anna-university
Government College of Technology Coimbatore,GCT Coimbatore,Coimbatore,Tamil Nadu,GOVERNMENT,1945,0,0,A++,40000,70000,84.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,GCT Coimbatore is one of Tamil Nadu's oldest and most prestigious government engineering colleges.,"Old institution,Tamil Nadu top govt,Low fees,Good placements",https://www.gct.ac.in,government-college-of-technology-coimbatore
Government College of Engineering Salem,GCE Salem,Salem,Tamil Nadu,GOVERNMENT,1966,0,0,A+,35000,65000,80.0,7.0,0.75,"TCS,Infosys,Wipro,Cognizant,HCL",TNEA,ENGINEERING,GCE Salem is a top government engineering college in Tamil Nadu offering quality education at minimal fees.,"Government college,Tamil Nadu,Low fees,Good placements",https://www.gcesalem.edu.in,government-college-of-engineering-salem
Thiagarajar College of Engineering,TCE Madurai,Madurai,Tamil Nadu,PRIVATE,1957,0,0,A++,80000,120000,83.0,7.5,0.8,"TCS,Infosys,Wipro,Cognizant,Amazon",TNEA,ENGINEERING,TCE Madurai is one of Tamil Nadu's top autonomous engineering colleges with strong industry connections.,"Tamil Nadu top private,Autonomous,Industry connect,Old institution",https://www.tce.edu,thiagarajar-college-of-engineering
