name,slug,city,state,type,established_year,nirf_rank,nirf_category,naac_grade,rating,total_ratings,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,courses_offered,website,ugc_approved,about,source
SPJIMR,spjimr,Mumbai,Maharashtra,PRIVATE,1981,7,Management,B++,4.4,3677,2000000,2920089,99.0,30.0,85.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.spjimr.edu.in,True,"SPJIMR is a premier private institution located in Mumbai, Maharashtra. Established in 1981, it is highly ranked in Management.",kaggle_fallback
IIM Indore,iim-indore,Indore,Madhya Pradesh,GOVERNMENT,1996,8,Management,B++,4.7,4761,2100000,2734417,98.0,25.0,90.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-indore.edu.in,True,"IIM Indore is a premier government institution located in Indore, Madhya Pradesh. Established in 1996, it is highly ranked in Management.",kaggle_fallback
XLRI,xlri,Jamshedpur,Jharkhand,PRIVATE,1949,9,Management,B++,4.1,665,2300000,2938373,99.0,29.5,110.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.xlri.edu.in,True,"XLRI is a premier private institution located in Jamshedpur, Jharkhand. Established in 1949, it is highly ranked in Management.",kaggle_fallback
IIT Bombay SJMSOM,iit-bombay-sjmsom,Mumbai,Maharashtra,GOVERNMENT,1995,10,Management,B++,3.9,4834,1200000,1464142,98.0,26.0,75.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iit-bombay-sjmsom.edu.in,True,"IIT Bombay SJMSOM is a premier government institution located in Mumbai, Maharashtra. Established in 1995, it is highly ranked in Management.",kaggle_fallback
Amity University Raipur 0,amity-university-raipur-0,Raipur,Chhattisgarh,PRIVATE,1965,64,Science,A+,3.8,4501,287225,338843,85.8,8.8,27.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.amity-university-raipur-0.edu.in,True,"Amity University Raipur 0 is a premier private institution located in Raipur, Chhattisgarh. Established in 1965, it is highly ranked in Science.",kaggle_fallback
State University Raipur 1,state-university-raipur-1,Raipur,Chhattisgarh,GOVERNMENT,1976,125,Commerce,B++,4.3,2809,295298,379446,70.7,5.4,24.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-raipur-1.edu.in,True,"State University Raipur 1 is a premier government institution located in Raipur, Chhattisgarh. Established in 1976, it is highly ranked in Commerce.",kaggle_fallback
State University Pune 2,state-university-pune-2,Pune,Maharashtra,DEEMED,2008,197,Law,A++,4.8,4875,181418,267420,94.5,13.9,29.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-pune-2.edu.in,True,"State University Pune 2 is a premier deemed institution located in Pune, Maharashtra. Established in 2008, it is highly ranked in Law.",kaggle_fallback
State University Bhopal 3,state-university-bhopal-3,Bhopal,Madhya Pradesh,DEEMED,1997,112,Commerce,A,4.8,3714,129747,172809,71.3,6.5,13.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-bhopal-3.edu.in,True,"State University Bhopal 3 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1997, it is highly ranked in Commerce.",kaggle_fallback
Amity University Patna 4,amity-university-patna-4,Patna,Bihar,PRIVATE,1940,135,Commerce,A,3.5,1084,405241,524632,61.7,9.3,24.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.amity-university-patna-4.edu.in,True,"Amity University Patna 4 is a premier private institution located in Patna, Bihar. Established in 1940, it is highly ranked in Commerce.",kaggle_fallback
State University Patna 5,state-university-patna-5,Patna,Bihar,DEEMED,2009,189,Management,A++,3.5,3736,223784,334653,75.3,13.4,44.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-patna-5.edu.in,True,"State University Patna 5 is a premier deemed institution located in Patna, Bihar. Established in 2009, it is highly ranked in Management.",kaggle_fallback
State University Raipur 6,state-university-raipur-6,Raipur,Chhattisgarh,GOVERNMENT,2011,74,Engineering,A+,3.6,2250,412892,471646,75.6,11.2,14.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-raipur-6.edu.in,True,"State University Raipur 6 is a premier government institution located in Raipur, Chhattisgarh. Established in 2011, it is highly ranked in Engineering.",kaggle_fallback
State University Kochi 7,state-university-kochi-7,Kochi,Kerala,GOVERNMENT,2009,145,Engineering,A,4.5,2957,114051,125633,72.9,10.0,21.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-kochi-7.edu.in,True,"State University Kochi 7 is a premier government institution located in Kochi, Kerala. Established in 2009, it is highly ranked in Engineering.",kaggle_fallback
State University Pune 8,state-university-pune-8,Pune,Maharashtra,DEEMED,1995,159,Engineering,B++,4.5,4823,243148,296303,93.6,11.8,31.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-pune-8.edu.in,True,"State University Pune 8 is a premier deemed institution located in Pune, Maharashtra. Established in 1995, it is highly ranked in Engineering.",kaggle_fallback
Raipur Institute of Arts 9,raipur-institute-of-arts-9,Raipur,Chhattisgarh,PRIVATE,1943,163,Arts,A++,4.6,1697,279341,350251,61.5,9.2,21.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.raipur-institute-of-arts-9.edu.in,True,"Raipur Institute of Arts 9 is a premier private institution located in Raipur, Chhattisgarh. Established in 1943, it is highly ranked in Arts.",kaggle_fallback
Jaipur Institute of Arts 10,jaipur-institute-of-arts-10,Jaipur,Rajasthan,PRIVATE,1942,198,Arts,A+,3.8,2079,90749,132682,61.8,6.5,17.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.jaipur-institute-of-arts-10.edu.in,True,"Jaipur Institute of Arts 10 is a premier private institution located in Jaipur, Rajasthan. Established in 1942, it is highly ranked in Arts.",kaggle_fallback
Patna Institute of Medical 11,patna-institute-of-medical-11,Patna,Bihar,PRIVATE,1968,76,Medical,A++,4.3,3163,300137,365274,92.9,12.7,29.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.patna-institute-of-medical-11.edu.in,True,"Patna Institute of Medical 11 is a premier private institution located in Patna, Bihar. Established in 1968, it is highly ranked in Medical.",kaggle_fallback
State University Raipur 12,state-university-raipur-12,Raipur,Chhattisgarh,GOVERNMENT,1943,114,Engineering,B++,3.6,1828,391784,540613,81.2,5.6,42.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-raipur-12.edu.in,True,"State University Raipur 12 is a premier government institution located in Raipur, Chhattisgarh. Established in 1943, it is highly ranked in Engineering.",kaggle_fallback
State University Nagpur 13,state-university-nagpur-13,Nagpur,Maharashtra,GOVERNMENT,1942,172,Medical,B++,3.9,2409,106158,121459,82.0,9.5,35.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-nagpur-13.edu.in,True,"State University Nagpur 13 is a premier government institution located in Nagpur, Maharashtra. Established in 1942, it is highly ranked in Medical.",kaggle_fallback
State University Raipur 14,state-university-raipur-14,Raipur,Chhattisgarh,GOVERNMENT,1992,53,Law,A+,4.0,4204,57817,82442,94.1,6.7,21.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-raipur-14.edu.in,True,"State University Raipur 14 is a premier government institution located in Raipur, Chhattisgarh. Established in 1992, it is highly ranked in Law.",kaggle_fallback
Pune Institute of Medical 15,pune-institute-of-medical-15,Pune,Maharashtra,PRIVATE,1985,121,Medical,A,3.9,210,51228,60242,67.1,5.1,34.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.pune-institute-of-medical-15.edu.in,True,"Pune Institute of Medical 15 is a premier private institution located in Pune, Maharashtra. Established in 1985, it is highly ranked in Medical.",kaggle_fallback
State University Nagpur 16,state-university-nagpur-16,Nagpur,Maharashtra,GOVERNMENT,2012,71,Commerce,A++,4.2,161,261973,293876,80.1,13.7,38.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-nagpur-16.edu.in,True,"State University Nagpur 16 is a premier government institution located in Nagpur, Maharashtra. Established in 2012, it is highly ranked in Commerce.",kaggle_fallback
State University Patna 17,state-university-patna-17,Patna,Bihar,GOVERNMENT,1961,96,Engineering,A,4.6,4448,278319,341499,80.8,8.6,21.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.state-university-patna-17.edu.in,True,"State University Patna 17 is a premier government institution located in Patna, Bihar. Established in 1961, it is highly ranked in Engineering.",kaggle_fallback
State University Chandigarh 18,state-university-chandigarh-18,Chandigarh,Chandigarh,GOVERNMENT,1971,182,Science,A,3.6,2346,167425,232278,78.5,14.6,13.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.state-university-chandigarh-18.edu.in,True,"State University Chandigarh 18 is a premier government institution located in Chandigarh, Chandigarh. Established in 1971, it is highly ranked in Science.",kaggle_fallback
Chandigarh Institute of Engineering 19,chandigarh-institute-of-engineering-19,Chandigarh,Chandigarh,PRIVATE,1965,123,Engineering,A,4.4,4048,262077,382205,75.6,8.8,23.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.chandigarh-institute-of-engineering-19.edu.in,True,"Chandigarh Institute of Engineering 19 is a premier private institution located in Chandigarh, Chandigarh. Established in 1965, it is highly ranked in Engineering.",kaggle_fallback
State University Patna 20,state-university-patna-20,Patna,Bihar,GOVERNMENT,1977,143,Management,A++,4.5,1946,256676,306135,67.8,10.1,12.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-patna-20.edu.in,True,"State University Patna 20 is a premier government institution located in Patna, Bihar. Established in 1977, it is highly ranked in Management.",kaggle_fallback
State University Jaipur 21,state-university-jaipur-21,Jaipur,Rajasthan,DEEMED,1963,167,Commerce,B++,4.3,155,323182,364064,67.9,12.1,39.3,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.state-university-jaipur-21.edu.in,True,"State University Jaipur 21 is a premier deemed institution located in Jaipur, Rajasthan. Established in 1963, it is highly ranked in Commerce.",kaggle_fallback
State University Raipur 22,state-university-raipur-22,Raipur,Chhattisgarh,DEEMED,1956,183,Medical,A++,4.7,206,92645,134928,65.9,11.6,23.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-raipur-22.edu.in,True,"State University Raipur 22 is a premier deemed institution located in Raipur, Chhattisgarh. Established in 1956, it is highly ranked in Medical.",kaggle_fallback
